symbol,organ_name,icb_code1,icb_code2,icb_code3,icb_code4,icb_name2,icb_name3,icb_name4
DGW,Công ty Cổ phần Thế Giới Số,5000,5300,5370,5379,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
DHA,Công ty Cổ phần Hóa An,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
DHC,Công ty Cổ phần Đông Hải Bến Tre,1000,1700,1730,1737,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy
DHG,Công ty Cổ phần Dược Hậu Giang,4000,4500,4570,4577,Y tế,Dược phẩm,Dược phẩm
DHM,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu,1000,1700,1770,1775,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
DMC,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,4000,4500,4570,4577,Y tế,Dược phẩm,Dược phẩm
DPG,Công ty Cổ phần Tập đoàn Đạt Phương,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,1000,1300,1350,1357,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
DPR,Công ty Cổ phần Cao su Đồng Phú,1000,1300,1350,1353,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
DQC,Công ty Cổ phần Tập đoàn Điện Quang,3000,3700,3720,3726,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng
DRC,Công ty Cổ phần Cao su Đà Nẵng,3000,3300,3350,3357,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe
DRH,Công ty Cổ phần DRH Holdings,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
DRL,Công ty Cổ phần Thủy điện - Điện lực 3,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
DSC,Công ty Cổ phần Chứng khoán DSC,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
DSE,Công ty Cổ phần Chứng khoán DNSE,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
DSN,Công ty Cổ phần Công viên nước Đầm Sen,5000,5700,5750,5755,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí
DTA,Công ty Cổ phần Đệ Tam,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
DTL,Công ty Cổ phần Đại Thiên Lộc,1000,1700,1750,1757,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
DTT,Công ty Cổ phần Kỹ nghệ Đô Thành,1000,1300,1350,1353,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
DVP,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,2000,2700,2770,2777,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,8000,8600,8630,8637,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản"
DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
ELC,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,9000,9500,9570,9578,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông
EVE,Công ty Cổ phần Everpia,3000,3700,3760,3763,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
EVF,Công ty Tài chính Tổng hợp Cổ phần Điện Lực,8000,8700,8770,8773,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính cá nhân
EVG,Công ty Cổ phần Tập đoàn Everland,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
FCM,Công ty Cổ phần Bê tông Phan Vũ Hà Nam,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
FCN,Công ty Cổ phần FECON,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
FDC,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
FIR,Công ty Cổ phần Địa ốc First Real,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
FIT,Công ty Cổ phần Tập đoàn F.I.T,4000,4500,4570,4577,Y tế,Dược phẩm,Dược phẩm
FLC,,,,,,,,
FMC,Công ty Cổ phần Thực phẩm Sao Ta,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
FPT,Công ty Cổ phần FPT,9000,9500,9530,9537,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,5000,5300,5370,5379,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
FTS,Công ty Cổ phần Chứng khoán FPT,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,7000,7500,7570,7573,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
GDT,Công ty Cổ phần Chế biến Gỗ Đức Thành,3000,3700,3720,3726,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng
GEE,Công ty Cổ phần Điện lực Gelex,2000,2700,2730,2737,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
GEG,Công ty Cổ phần Điện Gia Lai,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
GEX,Công ty Cổ phần Tập đoàn Gelex,2000,2700,2730,2737,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
GHC,Công ty Cổ phần Thủy điện Gia Lai,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
GIL,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,3000,3700,3760,3763,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
GMD,Công ty Cổ phần Gemadept,2000,2700,2770,2777,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
GMH,Công ty Cổ phần Minh Hưng Quảng Trị,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
GSP,Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế,2000,2700,2770,2773,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
GTA,Công ty Cổ phần Chế biến Gỗ Thuận An,1000,1700,1730,1733,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,1000,1300,1350,1353,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
HAG,Công ty Cổ phần Hoàng Anh Gia Lai,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
